"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
borrar_tpp,anticgrp,,descriptive,"<div class=""darkgreen""> <h5 style=""text-align: left;"">Tratamiento preventivo previo</h5> </div> ",,,,,,,[continua_tratamiento]='1',,,,,,
tratamiento_previo,anticgrp,,radio,"Tratamiento preventivo previo","0, No | 1, Sí",,,,,,[continua_tratamiento]='1',,,,,,
tabla_tratamiento_previo,anticgrp,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 69.7364%; height: 374px; margin-left: auto; margin-right: auto;"" border=""1""> <tbody> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; text-align: center; background-color: #e9f2ec; border-width: 0.5px;"">Tratamiento preventivo previo</td> <td style=""width: 2.07469%; height: 17px; text-align: center; background-color: #e9f2ec; border-width: 0.5px;"">Continuación</td> <td style=""width: 35.9865%; height: 17px; text-align: center; background-color: #e9f2ec; border-width: 0.5px;"">Motivo de retirada</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{topiramato}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{topiramato_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{topiramato_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{propranolol}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{propranolol_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{propranolol_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{metoprolol}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{metoprolol_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{metoprolol_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{nadolol}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{nadolol_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{nadolol_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{atenolol}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{atenolol_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{atenolol_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{timolol}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{timolol_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{timolol_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{nevibolol}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{nevibolol_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{nevibolol_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{amitriptilina}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{amitriptilina_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{amitriptilina_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{venlafaxina}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{venlafaxina_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{venlafaxina_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{zonisamida}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{zonisamida_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{zonisamida_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{flunarizina}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{flunarizina_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{flunarizina_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{lisinopril}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{lisinopril_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{lisinopril_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{candesartan}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{candesartan_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{candesartan_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{valproato}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{valproato_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{valproato_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{lamotrigina}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{lamotrigina_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{lamotrigina_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{botox}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{botox_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{botox_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{erenumab}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{erenumab_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{erenumab_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{galcanezumab}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{galcanezumab_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{galcanezumab_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{fremanezumab}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{fremanezumab_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{fremanezumab_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{eptinezumab}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{eptinezumab_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{eptinezumab_motivo}</td> </tr> <tr style=""height: 17px;""> <td style=""width: 57.1579%; height: 17px; border-width: 0.5px;"">{otro}</td> <td style=""width: 2.07469%; height: 17px; border-width: 0.5px; text-align: left;"">{otro_trat}</td> <td style=""width: 35.9865%; height: 17px; border-width: 0.5px;"">{otro_motivo}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,[tratamiento_previo]='1',,,,,,
topiramato,anticgrp,,checkbox,Topiramato,"1, Topiramato",,,,,,,,,,,,
topiramato_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[topiramato(1)] = ""1""",,,,,,
topiramato_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {topiramato_motivo_otro}",,,,,,"[topiramato_trat] = ""0""",,,,,,
topiramato_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[topiramato_motivo] = ""2""",,,,,,
propranolol,anticgrp,,checkbox,Propranolol,"1, Propranolol",,,,,,,,,,,,
propranolol_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[propranolol(1)] = ""1""",,,,,,
propranolol_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {propranolol_motivo_otro}",,,,,,"[propranolol_trat] = ""0""",,,,,,
propranolol_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[propranolol_motivo] = ""2""",,,,,,
metoprolol,anticgrp,,checkbox,Metoprolol,"1, Metoprolol",,,,,,,,,,,,
metoprolol_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[metoprolol(1)] = ""1""",,,,,,
metoprolol_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {metoprolol_motivo_otro}",,,,,,"[metoprolol_trat] = ""0""",,,,,,
metoprolol_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[metoprolol_motivo] = ""2""",,,,,,
nadolol,anticgrp,,checkbox,Nadolol,"1, Nadolol",,,,,,,,,,,,
nadolol_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[nadolol(1)] = ""1""",,,,,,
nadolol_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {nadolol_motivo_otro}",,,,,,"[nadolol_trat] = ""0""",,,,,,
nadolol_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[nadolol_motivo] = ""2""",,,,,,
atenolol,anticgrp,,checkbox,Atenolol,"1, Atenolol",,,,,,,,,,,,
atenolol_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[atenolol(1)] = ""1""",,,,,,
atenolol_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {atenolol_motivo_otro}",,,,,,"[atenolol_trat] = ""0""",,,,,,
atenolol_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[atenolol_motivo] = ""2""",,,,,,
timolol,anticgrp,,checkbox,Timolol,"1, Timolol",,,,,,,,,,,,
timolol_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[timolol(1)] = ""1""",,,,,,
timolol_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {timolol_motivo_otro}",,,,,,"[timolol_trat] = ""0""",,,,,,
timolol_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[timolol_motivo] = ""2""",,,,,,
nevibolol,anticgrp,,checkbox,Nevibolol,"1, Nevibolol",,,,,,,,,,,,
nevibolol_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[nevibolol(1)] = ""1""",,,,,,
nevibolol_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {nevibolol_motivo_otro}",,,,,,"[nevibolol_trat] = ""0""",,,,,,
nevibolol_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[nevibolol_motivo] = ""2""",,,,,,
amitriptilina,anticgrp,,checkbox,Amitriptilina,"1, Amitriptilina",,,,,,,,,,,,
amitriptilina_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[amitriptilina(1)] = ""1""",,,,,,
amitriptilina_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {amitriptilina_motivo_otro}",,,,,,"[amitriptilina_trat] = ""0""",,,,,,
amitriptilina_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[amitriptilina_motivo] = ""2""",,,,,,
venlafaxina,anticgrp,,checkbox,Venlafaxina,"1, Venlafaxina",,,,,,,,,,,,
venlafaxina_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[venlafaxina(1)] = ""1""",,,,,,
venlafaxina_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {venlafaxina_motivo_otro}",,,,,,"[venlafaxina_trat] = ""0""",,,,,,
venlafaxina_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[venlafaxina_motivo] = ""2""",,,,,,
zonisamida,anticgrp,,checkbox,Zonisamida,"1, Zonisamida",,,,,,,,,,,,
zonisamida_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[zonisamida(1)] = ""1""",,,,,,
zonisamida_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {zonisamida_motivo_otro}",,,,,,"[zonisamida_trat] = ""0""",,,,,,
zonisamida_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[zonisamida_motivo] = ""2""",,,,,,
flunarizina,anticgrp,,checkbox,Flunarizina,"1, Flunarizina",,,,,,,,,,,,
flunarizina_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[flunarizina(1)] = ""1""",,,,,,
flunarizina_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {flunarizina_motivo_otro}",,,,,,"[flunarizina_trat] = ""0""",,,,,,
flunarizina_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[flunarizina_motivo] = ""2""",,,,,,
lisinopril,anticgrp,,checkbox,Lisinopril,"1, Lisinopril",,,,,,,,,,,,
lisinopril_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[lisinopril(1)] = ""1""",,,,,,
lisinopril_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {lisinopril_motivo_otro}",,,,,,"[lisinopril_trat] = ""0""",,,,,,
lisinopril_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[lisinopril_motivo] = ""2""",,,,,,
candesartan,anticgrp,,checkbox,Candesartan,"1, Candesartan",,,,,,,,,,,,
candesartan_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[candesartan(1)] = ""1""",,,,,,
candesartan_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {candesartan_motivo_otro}",,,,,,"[candesartan_trat] = ""0""",,,,,,
candesartan_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[candesartan_motivo] = ""2""",,,,,,
valproato,anticgrp,,checkbox,Valproato,"1, Valproato",,,,,,,,,,,,
valproato_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[valproato(1)] = ""1""",,,,,,
valproato_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {valproato_motivo_otro}",,,,,,"[valproato_trat] = ""0""",,,,,,
valproato_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[valproato_motivo] = ""2""",,,,,,
lamotrigina,anticgrp,,checkbox,Lamotrigina,"1, Lamotrigina",,,,,,,,,,,,
lamotrigina_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[lamotrigina(1)] = ""1""",,,,,,
lamotrigina_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {lamotrigina_motivo_otro}",,,,,,"[lamotrigina_trat] = ""0""",,,,,,
lamotrigina_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[lamotrigina_motivo] = ""2""",,,,,,
botox,anticgrp,,checkbox,Botox,"1, Botox",,,,,,,,,,,,
botox_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[botox(1)] = ""1""",,,,,,
botox_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {botox_motivo_otro}",,,,,,"[botox_trat] = ""0""",,,,,,
botox_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[botox_motivo] = ""2""",,,,,,
erenumab,anticgrp,,checkbox,Erenumab,"1, Erenumab",,,,,,,,,,,,
erenumab_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[erenumab(1)] = ""1""",,,,,,
erenumab_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {erenumab_motivo_otro}",,,,,,"[erenumab_trat] = ""0""",,,,,,
erenumab_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[erenumab_motivo] = ""2""",,,,,,
galcanezumab,anticgrp,,checkbox,Galcanezumab,"1, Galcanezumab",,,,,,,,,,,,
galcanezumab_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[galcanezumab(1)] = ""1""",,,,,,
galcanezumab_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {galcanezumab_motivo_otro}",,,,,,"[galcanezumab_trat] = ""0""",,,,,,
galcanezumab_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[galcanezumab_motivo] = ""2""",,,,,,
fremanezumab,anticgrp,,checkbox,Fremanezumab,"1, Fremanezumab",,,,,,,,,,,,
fremanezumab_trat,anticgrp,,radio,"Continua con el tratamiento","0, No | 1, Sí | 2, Contraindicado",,,,,,"[fremanezumab(1)] = ""1""",,,,,,
fremanezumab_motivo,anticgrp,,radio,"Motivo de retirada","0, Ineficacia | 1, Mala tolerancia | 2, Otro {fremanezumab_motivo_otro}",,,,,,"[fremanezumab_trat] = ""0""",,,,,,
fremanezumab_motivo_otro,anticgrp,,text,Especifique,,,,,,,"[fremanezumab_motivo] = ""2""",,,,,,
eptinezumab,anticgrp,,checkbox,Eptinezumab,"1, Eptinezumab",,,,,,,,,,,,
